t,EnsembleEAnnealingUpdateAll,eAnnealing,Naive3,eGreedy0.1,EnsembleEAnnealing,EnsembleSoftmax,Softmax0.1,Random,EXP30.5,UCB1,EnsembleRandom,
91900,,0.0000018831,0.0000029571,0.0000034809,0.0000070186,0.0001695441,0.0001166233,0.0000030840,0.0000010241,0.0000000000,0.0000084859,
92000,,0.0000018862,0.0000029440,0.0000034826,0.0000070223,0.0001694052,0.0001165457,0.0000030759,0.0000010325,0.0000000000,0.0000084143,
92100,,0.0000018914,0.0000029213,0.0000034819,0.0000070242,0.0001692528,0.0001164264,0.0000030673,0.0000010341,0.0000000000,0.0000083999,
92200,,0.0000018851,0.0000029126,0.0000034800,0.0000069847,0.0001689345,0.0001163310,0.0000030641,0.0000010302,0.0000000000,0.0000083284,
92300,,0.0000018828,0.0000029069,0.0000034793,0.0000070165,0.0001687842,0.0001162384,0.0000030633,0.0000010318,0.0000000000,0.0000083296,
92400,,0.0000018773,0.0000028902,0.0000034849,0.0000069732,0.0001686923,0.0001161726,0.0000030695,0.0000010264,0.0000000000,0.0000083043,
92500,,0.0000018770,0.0000028994,0.0000034788,0.0000069667,0.0001683738,0.0001160969,0.0000030765,0.0000010272,0.0000000000,0.0000083032,
92600,,0.0000018774,0.0000029116,0.0000034748,0.0000069867,0.0001682735,0.0001159141,0.0000030702,0.0000010306,0.0000000000,0.0000083472,
92700,,0.0000018711,0.0000029301,0.0000034744,0.0000069880,0.0001680950,0.0001157726,0.0000030619,0.0000010340,0.0000000000,0.0000083469,
92800,,0.0000018732,0.0000029412,0.0000034867,0.0000069769,0.0001679180,0.0001157328,0.0000030731,0.0000010297,0.0000000000,0.0000083516,
92900,,0.0000018764,0.0000029422,0.0000034944,0.0000069610,0.0001676659,0.0001156869,0.0000030931,0.0000010293,0.0000000000,0.0000083518,
93000,,0.0000018880,0.0000029310,0.0000034882,0.0000069513,0.0001676578,0.0001155290,0.0000031102,0.0000010328,0.0000000000,0.0000083270,
93100,,0.0000018799,0.0000029152,0.0000034885,0.0000069464,0.0001676496,0.0001153471,0.0000031211,0.0000010313,0.0000000000,0.0000083084,
93200,,0.0000018663,0.0000029020,0.0000034751,0.0000069346,0.0001675376,0.0001151519,0.0000031207,0.0000010394,0.0000000000,0.0000082931,
93300,,0.0000018640,0.0000028997,0.0000034807,0.0000069329,0.0001675514,0.0001150115,0.0000031331,0.0000010474,0.0000000000,0.0000082701,
93400,,0.0000018601,0.0000028887,0.0000034815,0.0000068862,0.0001676319,0.0001149394,0.0000031423,0.0000010430,0.0000000000,0.0000082466,
93500,,0.0000018471,0.0000028751,0.0000034545,0.0000068872,0.0001676677,0.0001148339,0.0000031517,0.0000010395,0.0000000000,0.0000082467,
93600,,0.0000018330,0.0000028730,0.0000034476,0.0000068998,0.0001675894,0.0001146997,0.0000031594,0.0000010448,0.0000000000,0.0000082603,
93700,,0.0000018244,0.0000028793,0.0000034582,0.0000068468,0.0001675876,0.0001145756,0.0000031509,0.0000010439,0.0000000000,0.0000082593,
93800,,0.0000018143,0.0000028825,0.0000034357,0.0000068434,0.0001676459,0.0001144805,0.0000031476,0.0000010465,0.0000000000,0.0000082528,
93900,,0.0000018083,0.0000028704,0.0000034336,0.0000068314,0.0001675865,0.0001143185,0.0000031376,0.0000010423,0.0000000000,0.0000082560,
94000,,0.0000018035,0.0000028631,0.0000034200,0.0000068069,0.0001675659,0.0001141611,0.0000031408,0.0000010422,0.0000000000,0.0000082668,
94100,,0.0000017864,0.0000028417,0.0000034184,0.0000067832,0.0001675874,0.0001140205,0.0000031424,0.0000010386,0.0000000000,0.0000082704,
94200,,0.0000017795,0.0000028310,0.0000034043,0.0000067653,0.0001674394,0.0001138557,0.0000031462,0.0000010331,0.0000000000,0.0000082365,
94300,,0.0000017764,0.0000028086,0.0000033810,0.0000067908,0.0001674055,0.0001136945,0.0000031603,0.0000010327,0.0000000000,0.0000082417,
94400,,0.0000017765,0.0000028114,0.0000033649,0.0000067841,0.0001675818,0.0001136167,0.0000031560,0.0000010348,0.0000000000,0.0000082235,
94500,,0.0000017627,0.0000028048,0.0000033487,0.0000067683,0.0001675526,0.0001135432,0.0000031713,0.0000010356,0.0000000000,0.0000082213,
94600,,0.0000017560,0.0000027723,0.0000033253,0.0000067747,0.0001675848,0.0001134390,0.0000031709,0.0000010351,0.0000000000,0.0000082168,
94700,,0.0000017581,0.0000027620,0.0000033159,0.0000067594,0.0001676532,0.0001132909,0.0000031851,0.0000010319,0.0000000000,0.0000082405,
94800,,0.0000017399,0.0000027413,0.0000033096,0.0000067145,0.0001677988,0.0001132183,0.0000031961,0.0000010398,0.0000000000,0.0000082543,
94900,,0.0000017321,0.0000027429,0.0000033042,0.0000066821,0.0001678974,0.0001130966,0.0000032202,0.0000010449,0.0000000000,0.0000082749,
95000,,0.0000017275,0.0000027522,0.0000032916,0.0000066865,0.0001679490,0.0001129786,0.0000032101,0.0000010414,0.0000000000,0.0000083155,
95100,,0.0000017157,0.0000027443,0.0000032925,0.0000067105,0.0001677985,0.0001127888,0.0000032163,0.0000010457,0.0000000000,0.0000083341,
95200,,0.0000017220,0.0000027601,0.0000032733,0.0000067160,0.0001679105,0.0001127308,0.0000032215,0.0000010489,0.0000000000,0.0000082865,
95300,,0.0000017253,0.0000027722,0.0000032789,0.0000067443,0.0001681807,0.0001125849,0.0000032370,0.0000010543,0.0000000000,0.0000082689,
95400,,0.0000017165,0.0000027625,0.0000032988,0.0000067199,0.0001681923,0.0001125151,0.0000032542,0.0000010479,0.0000000000,0.0000082805,
95500,,0.0000017105,0.0000027790,0.0000033081,0.0000067002,0.0001683156,0.0001125052,0.0000032563,0.0000010489,0.0000000000,0.0000083331,
95600,,0.0000017127,0.0000027901,0.0000033127,0.0000067279,0.0001684220,0.0001123971,0.0000032522,0.0000010498,0.0000000000,0.0000083021,
95700,,0.0000016936,0.0000027706,0.0000032974,0.0000067036,0.0001685291,0.0001123103,0.0000032591,0.0000010524,0.0000000000,0.0000082810,
95800,,0.0000016852,0.0000027570,0.0000032748,0.0000067304,0.0001687781,0.0001121470,0.0000032795,0.0000010476,0.0000000000,0.0000082820,
95900,,0.0000016592,0.0000027299,0.0000032623,0.0000067364,0.0001689983,0.0001121327,0.0000032896,0.0000010538,0.0000000000,0.0000082639,
96000,,0.0000016466,0.0000026877,0.0000032492,0.0000066958,0.0001689799,0.0001120208,0.0000033050,0.0000010665,0.0000000000,0.0000082705,
96100,,0.0000016365,0.0000026663,0.0000032340,0.0000066786,0.0001689856,0.0001119005,0.0000033130,0.0000010601,0.0000000000,0.0000082957,
96200,,0.0000016304,0.0000026422,0.0000032077,0.0000066882,0.0001691368,0.0001119327,0.0000033243,0.0000010512,0.0000000000,0.0000082910,
96300,,0.0000016335,0.0000026176,0.0000031919,0.0000067162,0.0001694096,0.0001118315,0.0000033182,0.0000010508,0.0000000000,0.0000083424,
96400,,0.0000016223,0.0000025823,0.0000031737,0.0000067147,0.0001695401,0.0001118299,0.0000033269,0.0000010571,0.0000000000,0.0000083756,
96500,,0.0000016236,0.0000025631,0.0000031478,0.0000067297,0.0001695613,0.0001117375,0.0000033368,0.0000010721,0.0000000000,0.0000083225,
96600,,0.0000016184,0.0000025427,0.0000031473,0.0000067209,0.0001696089,0.0001117168,0.0000033309,0.0000010705,0.0000000000,0.0000083515,
96700,,0.0000016059,0.0000025554,0.0000031424,0.0000066999,0.0001695673,0.0001116385,0.0000033365,0.0000010756,0.0000000000,0.0000083373,
96800,,0.0000016048,0.0000025472,0.0000031441,0.0000067194,0.0001696121,0.0001115415,0.0000033382,0.0000010661,0.0000000000,0.0000083338,
96900,,0.0000015820,0.0000025420,0.0000031385,0.0000066274,0.0001697881,0.0001114903,0.0000033368,0.0000010654,0.0000000000,0.0000083338,
97000,,0.0000015728,0.0000025602,0.0000031153,0.0000066249,0.0001697814,0.0001113077,0.0000033378,0.0000010611,0.0000000000,0.0000083258,
97100,,0.0000015658,0.0000025379,0.0000031148,0.0000066257,0.0001698541,0.0001111772,0.0000033259,0.0000010636,0.0000000000,0.0000082910,
97200,,0.0000015799,0.0000025648,0.0000031002,0.0000066010,0.0001697709,0.0001111247,0.0000033057,0.0000010585,0.0000000000,0.0000082349,
97300,,0.0000015908,0.0000025647,0.0000030964,0.0000065956,0.0001700035,0.0001110397,0.0000032941,0.0000010464,0.0000000000,0.0000082441,
97400,,0.0000015740,0.0000025120,0.0000030789,0.0000066049,0.0001700504,0.0001110277,0.0000032851,0.0000010443,0.0000000000,0.0000082267,
97500,,0.0000015697,0.0000024881,0.0000030691,0.0000066146,0.0001701493,0.0001109901,0.0000032792,0.0000010354,0.0000000000,0.0000082277,
97600,,0.0000015630,0.0000024966,0.0000030581,0.0000066324,0.0001701577,0.0001108659,0.0000032635,0.0000010427,0.0000000000,0.0000082759,
97700,,0.0000015506,0.0000025381,0.0000030606,0.0000066081,0.0001702529,0.0001108502,0.0000032633,0.0000010448,0.0000000000,0.0000082955,
97800,,0.0000015523,0.0000025483,0.0000030442,0.0000066301,0.0001699452,0.0001107755,0.0000032510,0.0000010458,0.0000000000,0.0000083150,
97900,,0.0000015595,0.0000025152,0.0000030357,0.0000066447,0.0001702313,0.0001106134,0.0000032396,0.0000010363,0.0000000000,0.0000083016,
98000,,0.0000015499,0.0000024943,0.0000030139,0.0000066192,0.0001701741,0.0001104652,0.0000032422,0.0000010382,0.0000000000,0.0000082838,
98100,,0.0000015482,0.0000025032,0.0000029990,0.0000066004,0.0001703816,0.0001103861,0.0000032353,0.0000010357,0.0000000000,0.0000082147,
98200,,0.0000015467,0.0000024930,0.0000029822,0.0000065995,0.0001703469,0.0001103687,0.0000032336,0.0000010418,0.0000000000,0.0000082290,
98300,,0.0000015385,0.0000024820,0.0000029852,0.0000066165,0.0001702146,0.0001102082,0.0000031998,0.0000010455,0.0000000000,0.0000082778,
98400,,0.0000015319,0.0000025010,0.0000029615,0.0000066061,0.0001702176,0.0001102132,0.0000031795,0.0000010357,0.0000000000,0.0000082704,
98500,,0.0000015197,0.0000024960,0.0000029498,0.0000065998,0.0001701518,0.0001102500,0.0000031705,0.0000010351,0.0000000000,0.0000082949,
98600,,0.0000015030,0.0000024603,0.0000029304,0.0000065690,0.0001701843,0.0001102859,0.0000031522,0.0000010384,0.0000000000,0.0000083684,
98700,,0.0000014865,0.0000024654,0.0000029333,0.0000066129,0.0001700932,0.0001103043,0.0000031370,0.0000010401,0.0000000000,0.0000083198,
98800,,0.0000014698,0.0000024558,0.0000029143,0.0000066507,0.0001701166,0.0001103723,0.0000031210,0.0000010352,0.0000000000,0.0000083557,
98900,,0.0000014730,0.0000024341,0.0000028843,0.0000066399,0.0001700686,0.0001103782,0.0000031065,0.0000010423,0.0000000000,0.0000083456,
99000,,0.0000014725,0.0000024299,0.0000028595,0.0000066588,0.0001700766,0.0001103342,0.0000031131,0.0000010370,0.0000000000,0.0000084021,
99100,,0.0000014733,0.0000023869,0.0000028410,0.0000066664,0.0001701305,0.0001102621,0.0000031258,0.0000010320,0.0000000000,0.0000084141,
99200,,0.0000014569,0.0000023581,0.0000028194,0.0000066948,0.0001701804,0.0001102644,0.0000031054,0.0000010242,0.0000000000,0.0000084476,
99300,,0.0000014543,0.0000023481,0.0000028000,0.0000067057,0.0001700689,0.0001102181,0.0000031032,0.0000010175,0.0000000000,0.0000084696,
99400,,0.0000014234,0.0000023547,0.0000028180,0.0000066865,0.0001699621,0.0001102081,0.0000031004,0.0000010152,0.0000000000,0.0000084407,
99500,,0.0000014233,0.0000023648,0.0000028201,0.0000066474,0.0001699749,0.0001101142,0.0000030867,0.0000010147,0.0000000000,0.0000084743,
99600,,0.0000014199,0.0000023685,0.0000027882,0.0000066156,0.0001700223,0.0001101158,0.0000022116,0.0000010115,0.0000000000,0.0000085291,
99700,,0.0000014189,0.0000023444,0.0000027818,0.0000066153,0.0001698149,0.0001101710,0.0000022127,0.0000010105,0.0000000000,0.0000085715,
99800,,0.0000014145,0.0000023273,0.0000027737,0.0000065936,0.0001699363,0.0001099836,0.0000022044,0.0000010101,0.0000000000,0.0000085898,
99900,,0.0000014079,0.0000023049,0.0000027605,0.0000065890,0.0001701626,0.0001098424,0.0000021895,0.0000010164,0.0000000000,0.0000085798,
100000,,0.0000014030,0.0000022801,0.0000027420,0.0000065638,0.0001701045,0.0001097993,0.0000021989,0.0000010185,0.0000000000,0.0000085640,
100100,,0.0000013999,0.0000022801,0.0000027300,0.0000066088,0.0001699573,0.0001096206,0.0000021995,0.0000010109,0.0000000000,0.0000086196,
100200,,0.0000013875,0.0000022645,0.0000027333,0.0000066516,0.0001699772,0.0001096253,0.0000021872,0.0000010060,0.0000000000,0.0000086214,
100300,,0.0000013806,0.0000022632,0.0000027270,0.0000066345,0.0001698221,0.0001096164,0.0000021617,0.0000010024,0.0000000000,0.0000085747,
100400,,0.0000013804,0.0000022611,0.0000027227,0.0000065905,0.0001698165,0.0001094999,0.0000021526,0.0000010028,0.0000000000,0.0000085830,
100500,,0.0000013761,0.0000022527,0.0000027148,0.0000065712,0.0001700152,0.0001093638,0.0000021435,0.0000010154,0.0000000000,0.0000086164,
100600,,0.0000013760,0.0000022544,0.0000027032,0.0000065514,0.0001700561,0.0001094313,0.0000021350,0.0000010154,0.0000000000,0.0000086487,
100700,,0.0000013778,0.0000022482,0.0000026979,0.0000065886,0.0001700138,0.0001093769,0.0000021198,0.0000010120,0.0000000000,0.0000086801,
100800,,0.0000013719,0.0000022416,0.0000026856,0.0000065754,0.0001701034,0.0001094230,0.0000021029,0.0000010052,0.0000000000,0.0000086720,
100900,,0.0000013695,0.0000022509,0.0000026764,0.0000065510,0.0001700538,0.0001093694,0.0000021023,0.0000010212,0.0000000000,0.0000086777,
101000,,0.0000013540,0.0000022711,0.0000026862,0.0000065675,0.0001701189,0.0001093491,0.0000020931,0.0000010276,0.0000000000,0.0000086536,
101100,,0.0000013655,0.0000022546,0.0000026895,0.0000065669,0.0001702009,0.0001094108,0.0000020881,0.0000010150,0.0000000000,0.0000086254,
101200,,0.0000013669,0.0000022452,0.0000026843,0.0000066036,0.0001702481,0.0001093994,0.0000020716,0.0000010126,0.0000000000,0.0000086089,
101300,,0.0000013707,0.0000022580,0.0000026768,0.0000065883,0.0001703126,0.0001094159,0.0000020646,0.0000010058,0.0000000000,0.0000085878,
101400,,0.0000013489,0.0000022580,0.0000026631,0.0000065397,0.0001705673,0.0001092946,0.0000020564,0.0000010103,0.0000000000,0.0000085450,
101500,,0.0000013528,0.0000022535,0.0000026828,0.0000065357,0.0001703902,0.0001091545,0.0000020338,0.0000010179,0.0000000000,0.0000085439,
101600,,0.0000013499,0.0000022475,0.0000026529,0.0000065482,0.0001702956,0.0001091087,0.0000020187,0.0000010207,0.0000000000,0.0000085437,
101700,,0.0000013407,0.0000022433,0.0000026458,0.0000065781,0.0001702618,0.0001092305,0.0000020039,0.0000010133,0.0000000000,0.0000085432,
101800,,0.0000013351,0.0000022353,0.0000026431,0.0000065377,0.0001701990,0.0001093211,0.0000020014,0.0000009917,0.0000000000,0.0000085188,
101900,,0.0000013396,0.0000022317,0.0000026335,0.0000065197,0.0001703352,0.0001092641,0.0000019914,0.0000009816,0.0000000000,0.0000084856,
102000,,0.0000013301,0.0000022373,0.0000026220,0.0000065005,0.0001703915,0.0001091781,0.0000019855,0.0000009913,0.0000000000,0.0000084767,
102100,,0.0000013257,0.0000022150,0.0000026108,0.0000064422,0.0001705115,0.0001092210,0.0000019841,0.0000010099,0.0000000000,0.0000084915,
102200,,0.0000013307,0.0000022366,0.0000026209,0.0000064523,0.0001706370,0.0001093455,0.0000019644,0.0000010058,0.0000000000,0.0000084594,
102300,,0.0000013509,0.0000022218,0.0000026404,0.0000064350,0.0001706300,0.0001093984,0.0000019564,0.0000009997,0.0000000000,0.0000084836,
102400,,0.0000013395,0.0000022181,0.0000026354,0.0000064224,0.0001707602,0.0001094777,0.0000019414,0.0000009799,0.0000000000,0.0000085314,
102500,,0.0000013446,0.0000022330,0.0000026339,0.0000064199,0.0001707235,0.0001094839,0.0000019283,0.0000009754,0.0000000000,0.0000085293,
102600,,0.0000013493,0.0000022265,0.0000026485,0.0000064167,0.0001705569,0.0001094997,0.0000019196,0.0000009802,0.0000000000,0.0000085301,
102700,,0.0000013333,0.0000022585,0.0000026499,0.0000064589,0.0001706349,0.0001095532,0.0000019045,0.0000009838,0.0000000000,0.0000085152,
102800,,0.0000013508,0.0000022597,0.0000026937,0.0000064610,0.0001706513,0.0001094924,0.0000019013,0.0000009840,0.0000000000,0.0000084854,
102900,,0.0000013438,0.0000022588,0.0000026987,0.0000064060,0.0001707353,0.0001095575,0.0000019135,0.0000009824,0.0000000000,0.0000084540,
103000,,0.0000013517,0.0000022727,0.0000026850,0.0000064365,0.0001706370,0.0001095559,0.0000018947,0.0000009832,0.0000000000,0.0000084675,
103100,,0.0000013562,0.0000022804,0.0000026711,0.0000064570,0.0001703102,0.0001095899,0.0000018902,0.0000009797,0.0000000000,0.0000084582,
103200,,0.0000013546,0.0000022397,0.0000026763,0.0000064847,0.0001704561,0.0001096314,0.0000018720,0.0000009852,0.0000000000,0.0000084565,
103300,,0.0000013551,0.0000022253,0.0000026914,0.0000065090,0.0001704815,0.0001096296,0.0000018526,0.0000009805,0.0000000000,0.0000084152,
103400,,0.0000013450,0.0000022187,0.0000026837,0.0000065148,0.0001704574,0.0001096149,0.0000018313,0.0000009788,0.0000000000,0.0000084505,
103500,,0.0000013311,0.0000022201,0.0000026685,0.0000065186,0.0001703957,0.0001095728,0.0000018133,0.0000009774,0.0000000000,0.0000085017,
103600,,0.0000013264,0.0000022251,0.0000026640,0.0000065648,0.0001704957,0.0001095027,0.0000018156,0.0000009778,0.0000000000,0.0000085522,
103700,,0.0000013295,0.0000022023,0.0000026540,0.0000065982,0.0001703862,0.0001095123,0.0000018244,0.0000009815,0.0000000000,0.0000085465,
103800,,0.0000013286,0.0000021896,0.0000026262,0.0000066001,0.0001703194,0.0001094639,0.0000018097,0.0000009787,0.0000000000,0.0000085692,
103900,,0.0000013256,0.0000021626,0.0000026061,0.0000065925,0.0001703362,0.0001094193,0.0000018044,0.0000009781,0.0000000000,0.0000085832,
104000,,0.0000013201,0.0000021524,0.0000026101,0.0000066048,0.0001702110,0.0001093782,0.0000018089,0.0000009850,0.0000000000,0.0000085657,
104100,,0.0000013131,0.0000021511,0.0000026088,0.0000066447,0.0001701882,0.0001094671,0.0000018002,0.0000009824,0.0000000000,0.0000085774,
104200,,0.0000013090,0.0000021602,0.0000025957,0.0000066021,0.0001701061,0.0001094260,0.0000017971,0.0000009747,0.0000000000,0.0000085689,
104300,,0.0000012959,0.0000021558,0.0000026120,0.0000065795,0.0001699455,0.0001093042,0.0000017961,0.0000009726,0.0000000000,0.0000085983,
104400,,0.0000012853,0.0000021531,0.0000025979,0.0000065742,0.0001697133,0.0001094005,0.0000017898,0.0000009756,0.0000000000,0.0000085965,
104500,,0.0000012827,0.0000021623,0.0000025716,0.0000066189,0.0001696697,0.0001093691,0.0000017827,0.0000009718,0.0000000000,0.0000085799,
104600,,0.0000012909,0.0000021435,0.0000025848,0.0000066045,0.0001696123,0.0001095159,0.0000017737,0.0000009661,0.0000000000,0.0000085969,
104700,,0.0000012803,0.0000021336,0.0000025810,0.0000065844,0.0001694297,0.0001094760,0.0000017727,0.0000009626,0.0000000000,0.0000085652,
104800,,0.0000012595,0.0000021224,0.0000025767,0.0000065893,0.0001694159,0.0001094782,0.0000017733,0.0000009589,0.0000000000,0.0000085766,
104900,,0.0000012533,0.0000021122,0.0000025749,0.0000065604,0.0001694597,0.0001094543,0.0000017574,0.0000009539,0.0000000000,0.0000086004,
105000,,0.0000012470,0.0000021022,0.0000025577,0.0000065854,0.0001693248,0.0001095102,0.0000017504,0.0000009547,0.0000000000,0.0000086034,
105100,,0.0000012486,0.0000020912,0.0000025443,0.0000065789,0.0001691181,0.0001095606,0.0000017357,0.0000009491,0.0000000000,0.0000086013,
105200,,0.0000012400,0.0000020837,0.0000025160,0.0000065749,0.0001689815,0.0001095592,0.0000017437,0.0000009511,0.0000000000,0.0000085820,
105300,,0.0000012348,0.0000020487,0.0000025176,0.0000065804,0.0001689919,0.0001096303,0.0000017381,0.0000009454,0.0000000000,0.0000085573,
105400,,0.0000012276,0.0000020200,0.0000025014,0.0000065709,0.0001689499,0.0001096386,0.0000017381,0.0000009503,0.0000000000,0.0000085524,
105500,,0.0000012200,0.0000020317,0.0000024610,0.0000065161,0.0001688008,0.0001096564,0.0000017322,0.0000009614,0.0000000000,0.0000084861,
105600,,0.0000012073,0.0000020399,0.0000024549,0.0000064916,0.0001688549,0.0001097189,0.0000017179,0.0000009623,0.0000000000,0.0000084941,
105700,,0.0000012120,0.0000020494,0.0000024400,0.0000064956,0.0001685447,0.0001096689,0.0000017242,0.0000009634,0.0000000000,0.0000084957,
105800,,0.0000012026,0.0000020444,0.0000024427,0.0000064886,0.0001684194,0.0001096674,0.0000017210,0.0000009614,0.0000000000,0.0000085274,
105900,,0.0000011998,0.0000020383,0.0000024445,0.0000064937,0.0001683226,0.0001096281,0.0000017036,0.0000009593,0.0000000000,0.0000085191,
106000,,0.0000012025,0.0000020273,0.0000024367,0.0000064694,0.0001683560,0.0001097417,0.0000016958,0.0000009597,0.0000000000,0.0000084827,
106100,,0.0000011967,0.0000020243,0.0000024269,0.0000064509,0.0001683591,0.0001096912,0.0000016819,0.0000009579,0.0000000000,0.0000084704,
106200,,0.0000011962,0.0000020242,0.0000024053,0.0000064589,0.0001682123,0.0001098594,0.0000016851,0.0000009596,0.0000000000,0.0000084991,
106300,,0.0000012016,0.0000020080,0.0000024035,0.0000064818,0.0001680781,0.0001099550,0.0000016874,0.0000009550,0.0000000000,0.0000084811,
106400,,0.0000011935,0.0000019944,0.0000023955,0.0000065037,0.0001680149,0.0001099064,0.0000016805,0.0000009590,0.0000000000,0.0000084993,
106500,,0.0000011747,0.0000020079,0.0000023901,0.0000065223,0.0001678991,0.0001101308,0.0000016708,0.0000009564,0.0000000000,0.0000084860,
106600,,0.0000011775,0.0000019952,0.0000023769,0.0000065158,0.0001677623,0.0001102240,0.0000016669,0.0000009474,0.0000000000,0.0000084843,
106700,,0.0000011691,0.0000020142,0.0000023820,0.0000065194,0.0001676139,0.0001103114,0.0000016663,0.0000009490,0.0000000000,0.0000085159,
106800,,0.0000011644,0.0000019898,0.0000023709,0.0000065166,0.0001676960,0.0001104063,0.0000016585,0.0000009450,0.0000000000,0.0000084846,
106900,,0.0000011642,0.0000019839,0.0000023703,0.0000064647,0.0001675999,0.0001103663,0.0000016533,0.0000009367,0.0000000000,0.0000084667,
107000,,0.0000011618,0.0000019929,0.0000023510,0.0000064289,0.0001676369,0.0001104157,0.0000016458,0.0000009381,0.0000000000,0.0000084938,
107100,,0.0000011600,0.0000019684,0.0000023553,0.0000064334,0.0001675410,0.0001104473,0.0000016457,0.0000009347,0.0000000000,0.0000085128,
107200,,0.0000011485,0.0000019600,0.0000023529,0.0000064585,0.0001676225,0.0001104506,0.0000016452,0.0000009316,0.0000000000,0.0000085248,
107300,,0.0000011530,0.0000019467,0.0000023258,0.0000064673,0.0001674333,0.0001105300,0.0000016446,0.0000009261,0.0000000000,0.0000085444,
107400,,0.0000011520,0.0000019232,0.0000023357,0.0000064579,0.0001672417,0.0001105906,0.0000016356,0.0000009087,0.0000000000,0.0000084997,
107500,,0.0000011402,0.0000019301,0.0000023123,0.0000064661,0.0001671231,0.0001106208,0.0000016278,0.0000009154,0.0000000000,0.0000084892,
107600,,0.0000011373,0.0000019329,0.0000022890,0.0000064460,0.0001671159,0.0001105915,0.0000016193,0.0000009214,0.0000000000,0.0000084829,
107700,,0.0000011434,0.0000019384,0.0000022972,0.0000064453,0.0001669251,0.0001105956,0.0000016118,0.0000009207,0.0000000000,0.0000084231,
107800,,0.0000011514,0.0000019140,0.0000022801,0.0000064248,0.0001669238,0.0001105723,0.0000016007,0.0000009320,0.0000000000,0.0000084641,
107900,,0.0000011388,0.0000019140,0.0000022830,0.0000064453,0.0001668524,0.0001106092,0.0000015965,0.0000009323,0.0000000000,0.0000084903,
108000,,0.0000011318,0.0000019217,0.0000022609,0.0000064380,0.0001666433,0.0001105958,0.0000015918,0.0000009205,0.0000000000,0.0000084837,
108100,,0.0000011329,0.0000019258,0.0000022592,0.0000064699,0.0001667121,0.0001106187,0.0000015894,0.0000009244,0.0000000000,0.0000084934,
108200,,0.0000011338,0.0000019227,0.0000022517,0.0000064419,0.0001668076,0.0001106521,0.0000015792,0.0000009286,0.0000000000,0.0000084876,
108300,,0.0000011149,0.0000019221,0.0000022514,0.0000064462,0.0001666881,0.0001106173,0.0000015724,0.0000009329,0.0000000000,0.0000085234,
108400,,0.0000011150,0.0000019264,0.0000022364,0.0000064867,0.0001667336,0.0001106134,0.0000015769,0.0000009395,0.0000000000,0.0000085039,
108500,,0.0000011117,0.0000019175,0.0000022388,0.0000064895,0.0001667164,0.0001106540,0.0000015704,0.0000009425,0.0000000000,0.0000084984,
108600,,0.0000011094,0.0000019235,0.0000022409,0.0000065019,0.0001667260,0.0001106148,0.0000015656,0.0000009340,0.0000000000,0.0000085377,
108700,,0.0000011144,0.0000019004,0.0000022182,0.0000065127,0.0001667773,0.0001106245,0.0000015585,0.0000009359,0.0000000000,0.0000085544,
108800,,0.0000011041,0.0000018754,0.0000022142,0.0000065265,0.0001668679,0.0001105931,0.0000015566,0.0000009353,0.0000000000,0.0000085144,
108900,,0.0000010910,0.0000018600,0.0000022001,0.0000065271,0.0001667362,0.0001105932,0.0000015556,0.0000009381,0.0000000000,0.0000084845,
109000,,0.0000010947,0.0000018529,0.0000021875,0.0000065040,0.0001667874,0.0001105543,0.0000015565,0.0000009400,0.0000000000,0.0000084697,
109100,,0.0000010897,0.0000018597,0.0000021843,0.0000065021,0.0001666198,0.0001104874,0.0000015526,0.0000009417,0.0000000000,0.0000084769,
109200,,0.0000010943,0.0000018555,0.0000021693,0.0000065007,0.0001664680,0.0001105603,0.0000015483,0.0000009355,0.0000000000,0.0000083990,
109300,,0.0000010942,0.0000018570,0.0000021526,0.0000064736,0.0001664108,0.0001105064,0.0000015492,0.0000009256,0.0000000000,0.0000083392,
109400,,0.0000010945,0.0000018470,0.0000021483,0.0000064869,0.0001663949,0.0001105214,0.0000015484,0.0000009299,0.0000000000,0.0000083279,
109500,,0.0000010955,0.0000018278,0.0000021570,0.0000064736,0.0001663538,0.0001105143,0.0000015414,0.0000009327,0.0000000000,0.0000083526,
109600,,0.0000010958,0.0000018188,0.0000021388,0.0000064551,0.0001662928,0.0001104384,0.0000015341,0.0000009283,0.0000000000,0.0000083597,
109700,,0.0000010995,0.0000018058,0.0000021295,0.0000064541,0.0001660669,0.0001104282,0.0000015479,0.0000009254,0.0000000000,0.0000083610,
109800,,0.0000010949,0.0000018000,0.0000021399,0.0000064446,0.0001657887,0.0001104895,0.0000015545,0.0000009152,0.0000000000,0.0000083524,
109900,,0.0000010835,0.0000018145,0.0000021233,0.0000064325,0.0001657794,0.0001104115,0.0000015501,0.0000009222,0.0000000000,0.0000083352,
110000,,0.0000010736,0.0000018128,0.0000021216,0.0000064516,0.0001656388,0.0001103796,0.0000015475,0.0000009246,0.0000000000,0.0000083407,
110100,,0.0000010825,0.0000018355,0.0000021042,0.0000064142,0.0001654918,0.0001103144,0.0000015355,0.0000009208,0.0000000000,0.0000084054,
110200,,0.0000010730,0.0000018185,0.0000021042,0.0000064432,0.0001654705,0.0001103211,0.0000015448,0.0000009242,0.0000000000,0.0000084088,
110300,,0.0000010765,0.0000018220,0.0000021024,0.0000064211,0.0001655287,0.0001103216,0.0000015414,0.0000009260,0.0000000000,0.0000083728,
